MQ135,MQ2,MQ4,MQ7,Temperature,Humidity,class
18.39,32,28.82,13.24,29.1,63.3,1
18.31,31.83,30.89,12.98,29.1,63.9,1
18.08,31.32,29.66,12.77,29.2,64.5,1
17.85,29.41,29.83,13.13,29.2,65,1
17.48,30.66,30.35,12.67,29.2,64.9,1
17.85,31.83,30.18,13.24,29.3,65.2,1
17.55,31.49,30.89,13.08,29.3,65.8,1
17.26,32.35,30.53,13.13,29.3,66.1,1
17.19,31.16,29.49,13.13,29.4,66.8,1
16.76,30.5,33,13.29,29.4,67,1
16.69,30.99,30.35,13.29,29.5,67.4,1
16.62,30.66,31.45,12.98,29.5,67.1,1
16.35,30.03,29.66,13.45,29.5,67.4,1
16.35,31.49,30.53,13.03,29.5,67.4,1
15.95,29.87,28.82,13.34,29.6,67.3,1
15.69,30.18,29.66,13.4,29.6,67.7,1
15.75,30.03,30,13.4,29.7,68,1
15.62,30.83,30.18,13.13,29.7,68,1
15.49,30.03,30.35,13.24,29.7,68.1,1
15,30.03,29.15,12.77,29.7,68.6,1
15.24,30.18,29.83,12.92,29.8,69.1,1
14.87,29.87,28.82,13.29,29.8,68.5,1
14.75,29.11,27.87,12.98,29.8,68.5,1
14.64,29.26,28.82,13.08,29.8,68.7,1
14.69,30.5,29.66,13.03,29.9,69,1
14.94,30.66,30.18,13.29,29.9,68.7,1
14.34,29.72,29.66,13.08,29.9,68.6,1
14.17,29.87,29.83,11.75,29.9,68.4,1
13.89,28.96,28.18,12.67,30,68.9,1
14.17,29.72,26.96,12.57,30,69.2,1
13.94,29.11,30.53,12.67,30,69.5,1
13.94,29.72,29.49,12.72,30,69.6,1
13.72,29.72,28.82,12.77,30.1,69.9,1
13.5,28.81,31.82,12.67,30.1,69,1
13.5,29.41,29.66,12.82,30.1,69.5,1
13.72,30.18,30.35,12.72,30.1,69.8,1
13.5,29.87,29.66,12.57,30.1,70,1
13.29,29.26,29.83,13.03,30.2,70.4,1
13.5,31.32,30.53,12.92,30.2,70.6,1
13.18,28.81,29.15,13.13,30.2,70.6,1
13.13,29.41,29.15,12.98,30.2,70.4,1
13.29,30.03,30.18,13.18,30.2,69.2,1
13.08,30.18,30.71,12.77,30.2,69.8,1
13.18,29.87,30.53,12.87,30.3,70.3,1
12.72,28.96,29.15,12.67,30.3,70,1
12.98,30.34,34.25,13.18,30.3,70.2,1
12.62,28.37,29.32,13.08,30.3,70.6,1
12.82,28.81,29.49,13.18,30.3,70.7,1
12.67,29.41,30.53,11.62,30.3,70.2,1
12.57,28.81,30.35,13.08,30.4,70.8,1
12.62,28.66,28.82,12.87,30.4,70.3,1
12.52,28.23,31.26,12.42,30.4,70.3,1
12.47,28.96,29.66,12.82,30.4,70.8,1
12.28,28.23,27.26,12.98,30.4,70.9,1
12.47,29.11,32.6,12.62,30.4,71.1,1
12.32,28.81,30.35,12.57,30.4,71.2,1
12.23,28.23,29.83,13.13,30.4,71.3,1
12.42,28.81,30.35,12.52,30.5,71.7,1
12.04,27.67,28.18,12.87,30.5,71.7,1
12.18,28.66,30.71,12.82,30.5,71.8,1
12.04,28.23,30,12.82,30.5,71.8,1
12.13,28.81,28.34,12.72,30.5,72,1
12.08,30.99,33,12.67,30.5,72.1,1
11.89,27.95,30.71,12.82,30.5,72.1,1
11.85,28.23,30,12.92,30.6,72.2,1
12.04,28.52,30.89,12.82,30.6,71.4,1
12.04,27.81,30.89,12.62,30.6,72,1
11.8,28.37,32.4,12.37,30.6,72.2,1
11.53,26.72,29.83,12.57,30.6,72.3,1
11.53,26.59,29.15,12.37,30.6,72.4,1
11.57,26.98,31.26,12.52,30.6,72.5,1
11.62,27.81,29.15,12.67,30.6,72.7,1
11.21,26.46,29.15,12.57,30.6,72.7,1
11.48,27.39,30,12.77,30.6,72.8,1
11.26,26.72,30,11.62,30.6,72.9,1
11.21,25.82,29.15,12.67,30.7,72.9,1
11.04,25.82,29.32,12.62,30.7,73.1,1
11.21,26.2,30.53,12.52,30.7,73.1,1
11,26.2,29.32,12.67,30.7,73.1,1
