Temperature(C),Humidity,LPG,Smoke,Methane,Butane,CO,NH3,CO2,Alcohol,Acetone,Toluene,Benzene,Dangerous Degree
25,45,0.0076,0.0196,0.0246,0.011,0.027,0.2642,0.2642,0.053,0.026,0.022,5.89,1
25,45,0.0089,0.02,0.0256,0.014,0.0298,0.3642,0.3642,0.061,0.0315,0.039,5.96,1
25,45,0.0102,0.02134,0.0266,0.017,0.0326,0.4642,0.4642,0.069,0.037,0.056,6.03,1
25,45,0.0115,0.0267748,0.0276,0.02,0.0354,0.5642,0.5642,0.077,0.0425,0.073,6.1,1
25,45,0.0128,0.0356997,0.0286,0.023,0.0382,0.6642,0.6642,0.085,0.048,0.09,6.17,1
25,45,0.0141,0.0446246,0.0296,0.026,0.041,0.7642,0.7642,0.093,0.0535,0.107,6.24,1
25,45,0.0154,0.0535495,0.0306,0.029,0.0438,0.8642,0.8642,2.27138,0.059,0.124,6.31,1
25,45,0.0167,0.0624744,0.0316,0.032,0.0466,0.9642,0.9642,2.21138,0.0645,0.141,6.38,1
25,45,0.018,0.0713993,0.0326,0.035,0.0494,1.0642,1.0642,2.15138,0.07,0.158,6.45,1
25,45,0.0193,0.0803242,0.0336,0.038,0.0522,1.1642,1.1642,2.09138,0.0755,0.175,6.52,1
25,45,0.0206,0.0892491,0.0346,0.041,0.055,1.2642,1.2642,2.03138,0.081,0.192,6.59,1
25,45,0.0219,0.098174,0.0356,0.044,0.0578,1.3642,1.3642,1.97138,0.0865,0.209,6.66,1
26,45,0.0232,0.1070989,0.0366,0.047,0.0606,1.4642,1.4642,1.91138,0.092,0.226,6.73,1
26,45,0.0245,0.1160238,0.0376,0.05,0.0634,1.5642,1.5642,1.85138,0.0975,0.243,6.8,1
26,45,0.0258,0.1249487,0.0386,0.053,0.0662,1.6642,1.6642,1.79138,0.103,0.26,6.87,1
26,45,0.0271,0.1338736,0.0396,0.056,0.069,1.7642,1.7642,1.73138,0.1085,0.277,6.94,1
26,45,0.0284,0.1427985,0.0406,0.059,0.0718,1.8642,1.8642,1.67138,0.114,0.294,7.01,1
